Country,TotalCases,TotalDeaths,Recovered,ActiveCases,SeriousCases,CasesPerMil,DeathsPerMil,TotalTests,TestsPerMil,Continent,Population,MedianAge
United States of America,738830,39014,68285,631531,13551,2232,118,3722209,11245,North America,331002651,38
Spain,194416,20639,74797,98980,7371,4158,441,930230,19896,Europe,46754778,45
Italy,175925,23227,44927,107771,2733,2910,384,1305833,21598,Europe,60461826,47
France,151793,19323,35983,96487,5833,2325,296,463662,7103,Europe,65273511,42
Germany,143724,4538,85400,53786,2922,1715,54,1728357,20629,Europe,83783942,46
United Kingdom,114217,15464,0,98409,1559,1682,228,460437,6783,Europe,67886011,40
China,82735,4632,77062,1041,85,57,3,0,0,Asia,1439323776,38
Turkey,82329,1890,10453,69986,1894,976,22,598933,7101,Asia,84339067,32
Iran,80868,5031,55987,19850,3513,963,60,330137,3931,Asia,83992949,32
Belgium,37183,5453,8348,23382,1119,3208,471,145997,12597,Europe,11589623,42
Russia,36793,313,3057,33423,8,252,2,1831892,12553,Europe,145934462,40
Brazil,36760,2368,14026,20366,6634,173,11,62985,296,South America,212559417,33
Canada,33383,1470,11207,20706,557,885,39,516216,13677,North America,37742154,41
Netherlands,31589,3601,250,27738,1279,1844,210,154911,9041,Europe,17134872,43
Switzerland,27404,1368,17100,8936,386,3166,158,216400,25004,Europe,8654622,43
Portugal,19685,687,610,18388,228,1931,67,235878,23133,Europe,10196709,46
India,15722,521,2463,12738,0,11,0.4,335123,243,Asia,1380004385,28
Ireland,14758,571,77,14110,294,2989,116,90646,18358,Europe,4937786,38
Austria,14671,443,10214,4014,208,1629,49,175932,19534,Europe,9006398,43
Peru,14420,348,6684,7388,117,437,11,135895,4122,South America,32971854,31
Sweden,13822,1511,550,11761,1054,1369,150,74600,7387,Europe,10099265,41
Israel,13265,164,3456,9645,164,1533,19,187250,21634,Asia,8655535,30
South Korea,10661,234,8042,2385,55,208,5,546463,10659,Asia,51269185,44
Japan,10296,222,1069,9005,221,81,2,111325,880,Asia,126476461,48
Chile,9730,126,4035,5569,360,509,7,108891,5696,South America,19116201,35
Ecuador,9022,456,1008,7558,168,511,26,30922,1753,South America,17643054,28
Poland,8742,347,981,7414,160,231,9,192960,5098,Europe,37846611,42
Romania,8418,421,1730,6267,248,438,22,90991,4730,Europe,19237691,43
Saudi Arabia,8274,92,1329,6853,78,238,3,150000,4309,Asia,34813871,32
Pakistan,7638,143,1832,5663,46,35,0.6,92548,419,Asia,220892340,23
Mexico,7497,650,2125,4722,207,58,5,49167,381,North America,128932753,29
Denmark,7242,346,3847,3049,76,1250,60,91437,15786,Europe,5792202,42
Norway,7069,164,32,6873,63,1304,30,139668,25763,Europe,5421241,40
Czechia,6606,181,1227,5198,86,617,17,162533,15177,Europe,0,0
Australia,6586,70,4167,2349,55,258,3,406510,15942,Australia/Oceania,25499884,38
United Arab Emirates,6302,37,1188,5077,1,637,4,767000,77550,Asia,9890402,33
Indonesia,6248,535,631,5082,0,23,2,39422,144,Asia,273523615,30
Philippines,6087,397,516,5174,1,56,4,56048,511,Asia,109581078,26
Serbia,5994,117,637,5240,126,686,13,36028,4123,Europe,8737371,42
Singapore,5992,11,740,5241,23,1024,2,94796,16203,Asia,5850342,42
Malaysia,5305,88,3102,2115,49,164,3,100794,3114,Asia,32365999,30
Ukraine,5106,133,275,4698,45,117,3,52534,1201,Europe,43733762,41
Qatar,5008,8,510,4490,37,1738,3,60139,20874,Asia,2881053,32
Belarus,4779,45,342,4392,65,506,5,86813,9187,Europe,9449323,40
Dominican Republic,4335,217,312,3806,146,400,20,14373,1325,North America,10847910,28
Panama,4210,116,122,3972,96,976,27,18559,4301,North America,4314767,30
Finland,3681,90,1700,1891,70,664,16,55600,10035,Europe,5540720,43
Colombia,3621,166,691,2764,98,71,3,59002,1160,South America,50882891,31
Luxembourg,3537,72,601,2864,32,5650,115,33252,53120,Europe,625978,40
South Africa,3034,52,903,2079,36,51,0.9,108021,1821,Africa,59308690,28
Egypt,3032,224,701,2107,0,30,2,55000,537,Africa,102334404,25
Argentina,2839,132,685,2022,127,63,3,30942,685,South America,45195774,32
Thailand,2733,47,1787,899,61,39,0.7,100498,1440,Asia,69799978,40
Morocco,2685,137,314,2234,1,73,4,13689,371,Africa,36910560,30
Algeria,2534,367,894,1273,60,58,8,3359,77,Africa,43851044,29
Moldova,2378,57,391,1930,80,589,14,9848,2441,Europe,4033963,38
Greece,2235,110,269,1856,67,214,11,53290,5113,Europe,10423054,46
Bangladesh,2144,84,66,1994,1,13,0.5,21307,129,Asia,164689383,28
Hungary,1834,172,231,1431,60,190,18,43901,4544,Europe,9660351,43
Croatia,1832,39,615,1178,27,446,9,21647,5273,Europe,4105267,44
Bahrain,1773,7,755,1011,3,1042,4,82568,48524,Asia,1701575,32
Iceland,1760,9,1291,460,3,5158,26,41091,120416,Europe,341243,37
Kuwait,1751,6,280,1465,34,410,1,0,0,Asia,4270571,37
Kazakhstan,1615,17,377,1221,22,86,0.9,100878,5373,Asia,18776707,31
Iraq,1513,82,953,478,0,38,2,53955,1341,Asia,40222493,21
Estonia,1512,38,162,1312,11,1140,29,39605,29856,Europe,1326535,42
Uzbekistan,1490,5,194,1291,8,45,0.1,136000,4063,Asia,33469203,28
New Zealand,1422,11,867,544,3,295,2,79078,16399,Australia/Oceania,4822233,38
Azerbaijan,1373,18,590,765,21,135,2,86607,8542,Asia,10139177,32
Slovenia,1317,70,190,1057,27,633,34,40580,19520,Europe,2078938,45
